series,class,n_test,ql_raw,mae_raw,rmse_raw,mae_nz_raw,rmse_nz_raw,prec0_raw,rec0_raw,f1_raw,tp0_raw,fp0_raw,fn0_raw,ql_trunc,mae_trunc,rmse_trunc,mae_nz_trunc,rmse_nz_trunc,prec0_trunc,rec0_trunc,f1_trunc,tp0_trunc,fp0_trunc,fn0_trunc
part_21053055,intermittent,3,0.586407,1.17281,,1.50045,1.50046,0,0,0,0,0,1,0.668949,1.3379,,1.50045,1.50046,0,0,0,0,1,1
part_21091739,intermittent,3,0.297827,0.595653,,0.777572,0.777717,0,0,0,0,0,1,0.333333,0.666667,,0.777572,0.777717,0.333333,1,0.5,1,2,0
part_21314374,intermittent,3,0.194141,0.388282,,0.800006,0.800006,0,0,0,0,0,2,0.166667,0.333333,,0.800006,0.800006,0.666667,1,0.8,2,1,0
part_21068915,intermittent,3,0.0554473,0.110895,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313797,intermittent,3,0.281818,0.563636,,0.710003,0.71008,0,0,0,0,0,1,0.333333,0.666667,,0.710003,0.71008,0.333333,1,0.5,1,2,0
part_21029651,intermittent,3,0.627601,1.2552,,1.77179,1.77179,0,0,0,0,0,1,0.666667,1.33333,,1.77179,1.77179,0.333333,1,0.5,1,2,0
part_21048956,intermittent,3,0.114596,0.229192,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053093,intermittent,3,0.226206,0.452412,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21057481,intermittent,3,0.249123,0.498247,,0.481928,0.481928,0,0,0,0,0,1,0.249123,0.498247,,0.481928,0.481928,0,0,0,0,0,1
part_21137158,intermittent,3,0.114358,0.228716,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_15369646,intermittent,3,0.666267,1.33253,,1.97344,1.97344,0,0,0,0,0,1,0.666667,1.33333,,1.97344,1.97344,0.333333,1,0.5,1,2,0
part_21048462,intermittent,3,0.226447,0.452894,,0.59579,0.59579,0,0,0,0,0,2,0.166667,0.333333,,0.59579,0.59579,0.666667,1,0.8,2,1,0
part_21051544,intermittent,3,0.17973,0.35946,,0.869376,0.869376,0,0,0,0,0,2,0.166667,0.333333,,0.869376,0.869376,0.666667,1,0.8,2,1,0
part_21053057,intermittent,3,0.265887,0.531774,,,,0,0,0,0,0,3,0.265887,0.531774,,,,0,0,0,0,0,3
part_21060309,intermittent,3,0.330728,0.661457,,,,0,0,0,0,0,3,0.330728,0.661457,,,,0,0,0,0,0,3
part_21091738,intermittent,3,0.233726,0.467452,,0.622942,0.622942,0,0,0,0,0,2,0.166667,0.333333,,0.622942,0.622942,0.666667,1,0.8,2,1,0
part_21091776,intermittent,3,0.206156,0.412312,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90289102,intermittent,3,0.345536,0.691073,,0.691073,1.16813,0,0,0,0,0,0,0.345536,0.691073,,0.691073,1.16813,0,0,0,0,0,0
part_90451378,intermittent,3,0.666267,1.33253,,1.97344,2.21308,0,0,0,0,0,1,0.666667,1.33333,,1.97344,2.21308,0.333333,1,0.5,1,2,0
part_90451465,intermittent,3,0.469984,0.939969,,,,0,0,0,0,0,3,0.469984,0.939969,,,,0,0,0,0,0,3
part_21041727,intermittent,3,0.308834,0.617669,,,,0,0,0,0,0,3,0.308834,0.617669,,,,0,0,0,0,0,3
part_21054756,intermittent,3,0.188951,0.377902,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054788,intermittent,3,0.340324,0.680647,,,,0,0,0,0,0,3,0.340324,0.680647,,,,0,0,0,0,0,3
part_21055097,intermittent,3,0.129701,0.259401,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21056274,intermittent,3,0.248659,0.497318,,,,0,0,0,0,0,3,0.0863864,0.172773,,,,1,0.666667,0.8,2,0,1
part_21056514,intermittent,3,0.225002,0.450004,,0.69089,0.69089,0,0,0,0,0,2,0.166667,0.333333,,0.69089,0.69089,0.666667,1,0.8,2,1,0
part_21060750,intermittent,3,0.0879311,0.175862,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21064875,intermittent,3,0.255263,0.510525,,0.569143,0.569245,0,0,0,0,0,1,0.333333,0.666667,,0.569143,0.569245,0.333333,1,0.5,1,2,0
part_21068004,intermittent,3,0.196393,0.392786,,0.801137,0.801137,0,0,0,0,0,2,0.166667,0.333333,,0.801137,0.801137,0.666667,1,0.8,2,1,0
part_21081243,intermittent,3,0.113553,0.227106,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21314113,intermittent,3,0.450498,0.900996,,1.13438,1.25352,0,0,0,0,0,1,0.5,1,,1.13438,1.25352,0.333333,1,0.5,1,2,0
part_21034119,intermittent,3,0.139029,0.278057,,0.278057,0.280192,0,0,0,0,0,0,0.139029,0.278057,,0.278057,0.280192,0,0,0,0,0,0
part_21046251,intermittent,3,0.0345246,0.0690492,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048468,lumpy,3,0.363863,0.727727,,,,0,0,0,0,0,3,0.363863,0.727727,,,,0,0,0,0,0,3
part_21049101,intermittent,3,0.191966,0.383931,,0.798939,0.798939,0,0,0,0,0,2,0.166667,0.333333,,0.798939,0.798939,0.666667,1,0.8,2,1,0
part_21049345,intermittent,3,0.249938,0.499876,,0.465181,0.465181,0,0,0,0,0,2,0.249938,0.499876,,0.465181,0.465181,0,0,0,0,0,2
part_21052143,lumpy,3,0.169791,0.339582,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21053172,intermittent,3,0.206634,0.413268,,0.765524,0.765524,0,0,0,0,0,2,0.166667,0.333333,,0.765524,0.765524,0.666667,1,0.8,2,1,0
part_21056307,intermittent,3,0.488983,0.977966,,,,0,0,0,0,0,3,0.488983,0.977966,,,,0,0,0,0,0,3
part_21057243,intermittent,3,0.256845,0.513689,,,,0,0,0,0,0,3,0.0930575,0.186115,,,,1,0.666667,0.8,2,0,1
part_21058486,intermittent,3,0.242563,0.485125,,0.475879,0.475879,0,0,0,0,0,2,0.166189,0.332378,,0.475879,0.475879,1,0.5,0.666667,1,0,1
part_21059826,intermittent,3,0.243576,0.487152,,0.553227,0.553227,0,0,0,0,0,2,0.166667,0.333333,,0.553227,0.553227,0.666667,1,0.8,2,1,0
part_21063282,intermittent,3,0.206692,0.413384,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21066522,lumpy,3,0.216508,0.433016,,0.713246,0.713246,0,0,0,0,0,2,0.166667,0.333333,,0.713246,0.713246,0.666667,1,0.8,2,1,0
part_21068926,intermittent,3,0.13653,0.273061,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21091641,intermittent,3,0.397873,0.795746,,,,0,0,0,0,0,3,0.397873,0.795746,,,,0,0,0,0,0,3
part_21135776,intermittent,3,0.546675,1.09335,,1.09335,1.18711,0,0,0,0,0,0,0.666667,1.33333,,1.09335,1.18711,0,0,0,0,3,0
part_21035345,intermittent,3,0.0363146,0.0726292,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049344,intermittent,3,0.219462,0.438923,,0.340008,0.340083,0,0,0,0,0,1,0.219462,0.438923,,0.340008,0.340083,0,0,0,0,0,1
part_21049908,lumpy,3,0.298094,0.596189,,,,0,0,0,0,0,3,0.298094,0.596189,,,,0,0,0,0,0,3
part_21050118,intermittent,3,0.101066,0.202132,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054524,intermittent,3,0.188137,0.376274,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21055106,intermittent,3,0.260017,0.520034,,,,0,0,0,0,0,3,0.178203,0.356405,,,,1,0.333333,0.5,1,0,2
part_21055773,intermittent,3,0.225473,0.450947,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21069784,intermittent,3,0.244877,0.489753,,0.451956,0.451956,0,0,0,0,0,2,0.162418,0.324836,,0.451956,0.451956,1,0.5,0.666667,1,0,1
part_21088599,intermittent,3,0.348523,0.697045,,0.607538,0.794976,0,0,0,0,0,1,0.348523,0.697045,,0.607538,0.794976,0,0,0,0,0,1
part_21091929,intermittent,3,0.373029,0.746058,,,,0,0,0,0,0,3,0.373029,0.746058,,,,0,0,0,0,0,3
part_21312136,intermittent,3,0.217248,0.434496,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21315505,intermittent,3,0.320034,0.640067,,0.12182,0.12182,0,0,0,0,0,2,0.320034,0.640067,,0.12182,0.12182,0,0,0,0,0,2
part_21034604,intermittent,3,0.298555,0.59711,,,,0,0,0,0,0,3,0.298555,0.59711,,,,0,0,0,0,0,3
part_21046875,intermittent,3,0.399454,0.798907,,,,0,0,0,0,0,3,0.399454,0.798907,,,,0,0,0,0,0,3
part_21049208,intermittent,3,0.309784,0.619568,,0.169946,0.169946,0,0,0,0,0,2,0.309784,0.619568,,0.169946,0.169946,0,0,0,0,0,2
part_21050411,intermittent,3,0.250294,0.500589,,0.475191,0.475199,0,0,0,0,0,1,0.250294,0.500589,,0.475191,0.475199,0,0,0,0,0,1
part_21053489,intermittent,3,0.41701,0.83402,,0.996876,1.11024,0,0,0,0,0,1,0.49899,0.99798,,0.996876,1.11024,0,0,0,0,1,1
part_21054132,intermittent,3,0.265758,0.531517,,0.398159,0.398159,0,0,0,0,0,2,0.265758,0.531517,,0.398159,0.398159,0,0,0,0,0,2
part_21054575,intermittent,3,0.252883,0.505766,,,,0,0,0,0,0,3,0.171833,0.343667,,,,1,0.333333,0.5,1,0,2
part_21054763,lumpy,3,0.670675,1.34135,,,,0,0,0,0,0,3,0.670675,1.34135,,,,0,0,0,0,0,3
part_21057478,intermittent,3,0.232291,0.464581,,0.614887,0.614887,0,0,0,0,0,2,0.166667,0.333333,,0.614887,0.614887,0.666667,1,0.8,2,1,0
part_21058481,intermittent,3,0.0433828,0.0867655,,0.0867655,0.0934871,0,0,0,0,0,0,0.0433828,0.0867655,,0.0867655,0.0934871,0,0,0,0,0,0
part_21059366,intermittent,3,0.276783,0.553566,,,,0,0,0,0,0,3,0.276783,0.553566,,,,0,0,0,0,0,3
part_21060802,intermittent,3,0.43016,0.860321,,,,0,0,0,0,0,3,0.43016,0.860321,,,,0,0,0,0,0,3
part_21063074,intermittent,3,0.13184,0.26368,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063128,lumpy,3,0.134693,0.269386,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063276,intermittent,3,0.253661,0.507323,,,,0,0,0,0,0,3,0.172198,0.344396,,,,1,0.333333,0.5,1,0,2
part_21063285,intermittent,3,0.153519,0.307038,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21051523,intermittent,3,0.228811,0.457623,,0.599812,0.599812,0,0,0,0,0,2,0.166667,0.333333,,0.599812,0.599812,0.666667,1,0.8,2,1,0
part_21054577,intermittent,3,0.233162,0.466324,,0.617701,0.617701,0,0,0,0,0,2,0.166667,0.333333,,0.617701,0.617701,0.666667,1,0.8,2,1,0
part_21056927,intermittent,3,0.184702,0.369405,,0.927523,0.927523,0,0,0,0,0,2,0.166667,0.333333,,0.927523,0.927523,0.666667,1,0.8,2,1,0
part_21057234,lumpy,3,0.115336,0.230672,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21059355,intermittent,3,0.209425,0.418849,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21062996,intermittent,3,0.219543,0.439087,,0.64264,0.64264,0,0,0,0,0,2,0.166667,0.333333,,0.64264,0.64264,0.666667,1,0.8,2,1,0
part_21063040,intermittent,3,0.263605,0.527209,,0.538853,0.53922,0,0,0,0,0,1,0.41732,0.834641,,0.538853,0.53922,0,0,0,0,2,1
part_21063131,intermittent,3,0.196998,0.393997,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063293,lumpy,3,0.0712336,0.142467,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063312,intermittent,3,0.194944,0.389888,,0.804949,0.804949,0,0,0,0,0,2,0.166667,0.333333,,0.804949,0.804949,0.666667,1,0.8,2,1,0
part_21070196,intermittent,3,0.0710464,0.142093,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21312114,lumpy,3,0.219313,0.438627,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21034225,intermittent,3,0.287507,0.575014,,0.734904,0.735049,0,0,0,0,0,1,0.333333,0.666667,,0.734904,0.735049,0.333333,1,0.5,1,2,0
part_21035077,intermittent,3,0.21223,0.42446,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21049124,intermittent,3,0.308206,0.616411,,0.865187,0.865309,0,0,0,0,0,1,0.333333,0.666667,,0.865187,0.865309,0.333333,1,0.5,1,2,0
part_21050806,intermittent,3,0.172527,0.345053,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054143,intermittent,3,0.714622,1.42924,,3.76834,3.76834,0,0,0,0,0,2,0.666667,1.33333,,3.76834,3.76834,0.666667,1,0.8,2,1,0
part_21057242,intermittent,3,0.307638,0.615276,,,,0,0,0,0,0,3,0.307638,0.615276,,,,0,0,0,0,0,3
part_21061145,lumpy,3,0.192495,0.38499,,0.878853,0.878853,0,0,0,0,0,2,0.166667,0.333333,,0.878853,0.878853,0.666667,1,0.8,2,1,0
part_21064864,intermittent,3,0.474581,0.949162,,1.32286,1.41522,0,0,0,0,0,1,0.5,1,,1.32286,1.41522,0.333333,1,0.5,1,2,0
part_21067075,intermittent,3,0.209927,0.419855,,0.177956,0.183914,0,0,0,0,0,1,0.209927,0.419855,,0.177956,0.183914,0,0,0,0,0,1
part_21072246,intermittent,3,0.301911,0.603822,,0.79052,0.79057,0,0,0,0,0,1,0.333333,0.666667,,0.79052,0.79057,0.333333,1,0.5,1,2,0
part_21081263,intermittent,3,0.34615,0.6923,,,,0,0,0,0,0,3,0.34615,0.6923,,,,0,0,0,0,0,3
part_21086551,intermittent,3,0.232222,0.464444,,0.614131,0.614131,0,0,0,0,0,2,0.166667,0.333333,,0.614131,0.614131,0.666667,1,0.8,2,1,0
part_21091946,intermittent,3,0.215576,0.431153,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21104651,intermittent,3,0.171166,0.342332,,0.987536,0.987536,0,0,0,0,0,2,0.166667,0.333333,,0.987536,0.987536,0.666667,1,0.8,2,1,0
part_21105273,intermittent,3,0.547154,1.09431,,1.32605,1.32606,0,0,0,0,0,1,0.547154,1.09431,,1.32605,1.32606,0,0,0,0,0,1
part_21122714,intermittent,3,0.222533,0.445066,,0.630032,0.630032,0,0,0,0,0,2,0.166667,0.333333,,0.630032,0.630032,0.666667,1,0.8,2,1,0
part_21312917,intermittent,3,0.0363146,0.0726292,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_90147113,intermittent,3,0.216851,0.433703,,0.723357,0.723357,0,0,0,0,0,2,0.166667,0.333333,,0.723357,0.723357,0.666667,1,0.8,2,1,0
part_90522960,intermittent,3,0.307224,0.614448,,0.833878,0.833983,0,0,0,0,0,1,0.333333,0.666667,,0.833878,0.833983,0.333333,1,0.5,1,2,0
part_90606357,intermittent,3,0.270921,0.541842,,0.275841,0.275841,0,0,0,0,0,2,0.270921,0.541842,,0.275841,0.275841,0,0,0,0,0,2
part_90606397,intermittent,3,0.291861,0.583722,,0.722385,0.722408,0,0,0,0,0,1,0.333333,0.666667,,0.722385,0.722408,0.333333,1,0.5,1,2,0
part_90606410,intermittent,3,0.335135,0.67027,,1.98334,1.98334,0,0,0,0,0,2,0.333333,0.666667,,1.98334,1.98334,0.666667,1,0.8,2,1,0
part_12140431,intermittent,3,0.258511,0.517022,,0.570556,0.570556,0,0,0,0,0,1,0.333333,0.666667,,0.570556,0.570556,0.333333,1,0.5,1,2,0
part_15383265,intermittent,3,0.0871971,0.174394,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21032487,intermittent,3,0.266397,0.532794,,0.610667,0.610667,0,0,0,0,0,2,0.253944,0.507889,,0.610667,0.610667,0.5,0.5,0.5,1,1,1
part_21047886,intermittent,3,0.1206,0.241199,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21048405,intermittent,3,0.16712,0.334241,,0.979381,0.979381,0,0,0,0,0,2,0.166667,0.333333,,0.979381,0.979381,0.666667,1,0.8,2,1,0
part_21048934,intermittent,3,0.192921,0.385842,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21051283,intermittent,3,0.238277,0.476554,,0.650087,0.650087,0,0,0,0,0,2,0.166667,0.333333,,0.650087,0.650087,0.666667,1,0.8,2,1,0
part_21051354,intermittent,3,0.204265,0.40853,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21052144,intermittent,3,0.126225,0.25245,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21052275,intermittent,3,0.572883,1.14577,,,,0,0,0,0,0,3,0.572883,1.14577,,,,0,0,0,0,0,3
part_21052652,intermittent,3,0.562232,1.12446,,2.62369,2.62369,0,0,0,0,0,2,0.5,1,,2.62369,2.62369,0.666667,1,0.8,2,1,0
part_21053129,intermittent,3,0.129089,0.258178,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21054576,intermittent,3,0.303293,0.606587,,,,0,0,0,0,0,3,0.303293,0.606587,,,,0,0,0,0,0,3
part_21054797,intermittent,3,0.124578,0.249157,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058447,intermittent,3,0.212649,0.425297,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21058594,intermittent,3,0.461971,0.923941,,,,0,0,0,0,0,3,0.461971,0.923941,,,,0,0,0,0,0,3
part_21063264,intermittent,3,0.12689,0.25378,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21068927,lumpy,3,0.307769,0.615538,,,,0,0,0,0,0,3,0.307769,0.615538,,,,0,0,0,0,0,3
part_21081242,intermittent,3,0.214931,0.429862,,0.738472,0.738472,0,0,0,0,0,2,0.166667,0.333333,,0.738472,0.738472,0.666667,1,0.8,2,1,0
part_21107413,intermittent,3,0.192519,0.385037,,0.861264,0.861264,0,0,0,0,0,2,0.166667,0.333333,,0.861264,0.861264,0.666667,1,0.8,2,1,0
part_21135150,intermittent,3,0.192183,0.384366,,0.835423,0.835423,0,0,0,0,0,2,0.166667,0.333333,,0.835423,0.835423,0.666667,1,0.8,2,1,0
part_21137091,intermittent,3,0.178381,0.356761,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21181346,intermittent,3,0.451078,0.902156,,1.20872,1.20872,0,0,0,0,0,2,0.451078,0.902156,,1.20872,1.20872,0,0,0,0,0,2
part_21312995,intermittent,3,1.05695,2.1139,,2.1139,2.45004,0,0,0,0,0,0,1.16667,2.33333,,2.1139,2.45004,0,0,0,0,3,0
part_21313042,intermittent,3,0.229612,0.459225,,0.530563,0.530563,0,0,0,0,0,2,0.166667,0.333333,,0.530563,0.530563,0.666667,1,0.8,2,1,0
part_21313211,intermittent,3,0.179925,0.359849,,0.0574868,0.0574939,0,0,0,0,0,1,0.179925,0.359849,,0.0574868,0.0574939,0,0,0,0,0,1
part_21313416,intermittent,3,0.191002,0.382004,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21313793,lumpy,3,0.224276,0.448552,,0.616258,0.616258,0,0,0,0,0,2,0.166667,0.333333,,0.616258,0.616258,0.666667,1,0.8,2,1,0
part_21046236,intermittent,3,0.245539,0.491077,,0.472003,0.472003,0,0,0,0,0,2,0.1625,0.324999,,0.472003,0.472003,1,0.5,0.666667,1,0,1
part_21046671,intermittent,3,0.135013,0.270025,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21050255,intermittent,3,0.36003,0.72006,,0.723119,0.891343,0,0,0,0,0,1,0.36003,0.72006,,0.723119,0.891343,0,0,0,0,0,1
part_21053202,intermittent,3,0.253548,0.507095,,0.470005,0.470005,0,0,0,0,0,2,0.172498,0.344996,,0.470005,0.470005,1,0.5,0.666667,1,0,1
part_21054757,intermittent,3,0.658778,1.31756,,,,0,0,0,0,0,3,0.658778,1.31756,,,,0,0,0,0,0,3
part_21056539,intermittent,3,0.823809,1.64762,,3.04704,3.04704,0,0,0,0,0,2,0.823809,1.64762,,3.04704,3.04704,0,0,0,0,0,2
part_21059289,intermittent,3,0.13257,0.265141,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21061883,intermittent,3,0.220899,0.441798,,0.593146,0.593146,0,0,0,0,0,2,0.166667,0.333333,,0.593146,0.593146,0.666667,1,0.8,2,1,0
part_21062037,intermittent,3,0.0560717,0.112143,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063137,intermittent,3,0.056605,0.11321,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063138,intermittent,3,0.216976,0.433951,,0.613242,0.613242,0,0,0,0,0,2,0.166667,0.333333,,0.613242,0.613242,0.666667,1,0.8,2,1,0
part_21065066,intermittent,3,0.177187,0.354374,,0.925394,0.925394,0,0,0,0,0,2,0.166667,0.333333,,0.925394,0.925394,0.666667,1,0.8,2,1,0
part_21067085,intermittent,3,0.523001,1.046,,2.90266,2.90266,0,0,0,0,0,2,0.5,1,,2.90266,2.90266,0.666667,1,0.8,2,1,0
part_21068943,intermittent,3,0.100803,0.201605,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21070702,intermittent,3,0.591267,1.18253,,1.55878,1.8662,0,0,0,0,0,1,0.666667,1.33333,,1.55878,1.8662,0.333333,1,0.5,1,2,0
part_21086286,intermittent,3,0.231306,0.462612,,0.562244,0.562244,0,0,0,0,0,2,0.166667,0.333333,,0.562244,0.562244,0.666667,1,0.8,2,1,0
part_21091640,lumpy,3,0.191763,0.383526,,0.811815,0.811815,0,0,0,0,0,2,0.166667,0.333333,,0.811815,0.811815,0.666667,1,0.8,2,1,0
part_21181873,lumpy,3,0.433412,0.866825,,1.44926,1.44926,0,0,0,0,0,2,0.433412,0.866825,,1.44926,1.44926,0,0,0,0,0,2
part_21312500,intermittent,3,0.267003,0.534005,,0.366013,0.366013,0,0,0,0,0,2,0.267003,0.534005,,0.366013,0.366013,0,0,0,0,0,2
part_21313383,intermittent,3,0.203819,0.407639,,0.797534,0.797534,0,0,0,0,0,2,0.166667,0.333333,,0.797534,0.797534,0.666667,1,0.8,2,1,0
part_21019490,lumpy,3,1.1457,2.29139,,2.29139,3.29804,0,0,0,0,0,0,1.33333,2.66667,,2.29139,3.29804,0,0,0,0,3,0
part_21024251,intermittent,3,0.413162,0.826324,,0.984795,1.10993,0,0,0,0,0,1,0.413162,0.826324,,0.984795,1.10993,0,0,0,0,0,1
part_21033751,intermittent,3,0.634452,1.2689,,1.80563,1.80571,0,0,0,0,0,1,0.666667,1.33333,,1.80563,1.80571,0.333333,1,0.5,1,2,0
part_21034006,intermittent,3,0.316113,0.632227,,0.890382,0.890449,0,0,0,0,0,1,0.333333,0.666667,,0.890382,0.890449,0.333333,1,0.5,1,2,0
part_21034066,intermittent,3,0.574696,1.14939,,1.46599,1.46604,0,0,0,0,0,1,0.574696,1.14939,,1.46599,1.46604,0,0,0,0,0,1
part_21052125,intermittent,3,0.333533,0.667066,,1.97464,1.97464,0,0,0,0,0,2,0.333333,0.666667,,1.97464,1.97464,0.666667,1,0.8,2,1,0
part_21055177,intermittent,3,0.283004,0.566009,,0.391832,0.391832,0,0,0,0,0,2,0.283004,0.566009,,0.391832,0.391832,0,0,0,0,0,2
part_21056677,intermittent,3,0.225386,0.450771,,0.579217,0.579217,0,0,0,0,0,2,0.166667,0.333333,,0.579217,0.579217,0.666667,1,0.8,2,1,0
part_21059275,intermittent,3,0.248765,0.497529,,0.509318,0.509318,0,0,0,0,0,2,0.166667,0.333333,,0.509318,0.509318,0.666667,1,0.8,2,1,0
part_21062036,lumpy,3,0.203473,0.406946,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21063305,intermittent,3,0.270335,0.54067,,,,0,0,0,0,0,3,0.270335,0.54067,,,,0,0,0,0,0,3
part_21063325,intermittent,3,0.179729,0.359457,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21067084,intermittent,3,0.399643,0.799286,,1.65853,1.65853,0,0,0,0,0,2,0.333333,0.666667,,1.65853,1.65853,0.666667,1,0.8,2,1,0
part_21088598,intermittent,3,0.421316,0.842632,,1.51373,1.51373,0,0,0,0,0,2,0.422594,0.845187,,1.51373,1.51373,0.5,0.5,0.5,1,1,1
part_21134232,intermittent,3,0.37622,0.75244,,1.74684,1.74684,0,0,0,0,0,2,0.333333,0.666667,,1.74684,1.74684,0.666667,1,0.8,2,1,0
part_21135151,lumpy,3,0.247815,0.495631,,0.532089,0.532089,0,0,0,0,0,2,0.166667,0.333333,,0.532089,0.532089,0.666667,1,0.8,2,1,0
part_21312143,intermittent,3,0.344651,0.689303,,,,0,0,0,0,0,3,0.344651,0.689303,,,,0,0,0,0,0,3
part_21312172,intermittent,3,0.175568,0.351136,,0.92313,0.92313,0,0,0,0,0,2,0.166667,0.333333,,0.92313,0.92313,0.666667,1,0.8,2,1,0
part_21312277,intermittent,3,0.455934,0.911867,,1.28175,1.28175,0,0,0,0,0,2,0.455934,0.911867,,1.28175,1.28175,0,0,0,0,0,2
part_21312883,intermittent,3,0.411676,0.823353,,0.960102,1.07776,0,0,0,0,0,1,0.411676,0.823353,,0.960102,1.07776,0,0,0,0,0,1
part_21313369,intermittent,3,0.232833,0.465666,,0.420881,0.420881,0,0,0,0,0,2,0.15411,0.30822,,0.420881,0.420881,1,0.5,0.666667,1,0,1
part_21314565,intermittent,3,0.369978,0.739957,,0.741842,0.897043,0,0,0,0,0,1,0.369978,0.739957,,0.741842,0.897043,0,0,0,0,0,1
part_90479789,lumpy,3,0.880804,1.76161,,2.25759,2.25759,0,0,0,0,0,1,0.880804,1.76161,,2.25759,2.25759,0,0,0,0,0,1
part_90584662,lumpy,3,0.33928,0.67856,,0.67856,0.678902,0,0,0,0,0,0,0.5,1,,0.67856,0.678902,0,0,0,0,3,0
part_90606250,intermittent,3,0.403797,0.807595,,0.897239,1.01073,0,0,0,0,0,1,0.403797,0.807595,,0.897239,1.01073,0,0,0,0,0,1
part_90606392,intermittent,3,0.608504,1.21701,,1.64949,1.64973,0,0,0,0,0,1,0.666667,1.33333,,1.64949,1.64973,0.333333,1,0.5,1,2,0
part_21016961,intermittent,3,0.333363,0.666726,,,,0,0,0,0,0,3,0.333363,0.666726,,,,0,0,0,0,0,3
part_21030204,intermittent,3,1.0833,2.1666,,2.1666,2.21661,0,0,0,0,0,0,1.16667,2.33333,,2.1666,2.21661,0,0,0,0,3,0
part_21032485,intermittent,3,0.437865,0.87573,,,,0,0,0,0,0,3,0.437865,0.87573,,,,0,0,0,0,0,3
part_21033750,intermittent,3,0.104641,0.209282,,,,0,0,0,0,0,3,0,0,,,,1,1,1,3,0,0
part_21046543,intermittent,3,0.279437,0.558875,,0.429295,0.429295,0,0,0,0,0,2,0.279437,0.558875,,0.429295,0.429295,0,0,0,0,0,2
part_21046547,intermittent,3,0.355893,0.711786,,,,0,0,0,0,0,3,0.355893,0.711786,,,,0,0,0,0,0,3
part_21048955,intermittent,3,0.258167,0.516334,,0.452107,0.452107,0,0,0,0,0,2,0.258167,0.516334,,0.452107,0.452107,0,0,0,0,0,2
